ip_host,snmp,mac-address,hostname
172.16.1.143,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:81:44:cc,
172.16.1.144,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:6c:79:d5,
172.16.1.145,,,
172.16.1.146,,,
172.16.1.147,,,
172.16.1.148,,,
172.16.1.149,,,
172.16.1.150,,,
172.16.1.151,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:3e:f4:36,
172.16.1.152,,,
172.16.1.153,,,
172.16.1.154,,00:0c:29:76:d2:07,exellio.rud.ua
172.16.1.155,,,ws103.rud.ua
172.16.1.156,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:26:7b:b4,
172.16.1.157,,,
172.16.1.158,,,
172.16.1.159,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:30:45:15,
172.16.1.160,"SNMPv2-MIB::sysDescr.0 = HP ETHERNET MULTI-ENVIRONMENT,SN:CNFTD2901J,FN:PT70TKH,SVCID:22282,PID:IT",00:9c:02:03:dc:b3,NPI03DCB3
172.16.1.161,,,
172.16.1.162,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:01:a4:ac,
172.16.1.163,,,
172.16.1.164,,38:d5:47:24:59:25,ws48.rud.ua
172.16.1.165,SNMPv2-MIB::sysDescr.0 = KYOCERA MITA Printing System,00:c0:ee:9e:bb:7a,sbytnot.rud.ua
172.16.1.166,,70:4d:7b:b1:70:ed,tech5.rud.ua
172.16.1.167,,,
172.16.1.168,,,ws95.rud.ua
172.16.1.169,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:98:fe:ac,yurist-note2.rud.ua
172.16.1.170,,,
172.16.1.171,,cc:5d:4e:4d:a0:d5,
172.16.1.172,,70:8b:cd:a4:21:b1,propusk2.rud.ua
172.16.1.173,,,
172.16.1.174,,,
172.16.1.175,,,
172.16.1.176,,,anton.rud.ua
172.16.1.177,,68:aa:2a:85:01:3c,
172.16.1.178,,,
172.16.1.179,,,
172.16.1.180,,,
172.16.1.181,,,
172.16.1.182,,70:8b:cd:59:50:34,komers6.rud.ua
